Q,A,label
10일간 대구대학교 공지사항 알고 있어?, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10일간 대 알고 있어?, 네 10일D10 ,0
10일동안 공지사항 알려줘, 네 10일동안 대구대학교 공지사항 입니다. D10 ,0
10일동안 알려줘, 네 0 ,0
10일간 대구대학교 공지 알려줘, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10알려줘, 네 10일간 대구대학교 사항 입니다. D10 ,0
10일간 대구대학교 공지사항, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10일간 지사항, 네 10일공지사항 입니다. D10 ,0
10일간 대구대학교 공지, 네 10일간  대구대학교 공지사항 입니다. D10 ,0
, 네 10일간  대구대학교 공지사항 입니다. D10 ,0
10일간 공지사항 알려줘, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10지사항 알려줘, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10일간 대구대학교 공지사항 알고 있어?, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10알고 있어?, 네 10일간 대구대학교0 ,0
10일치 공지사항 알려줘, 네 10일간 대구대학교 공지사항 입니다. D10 ,0
10일치 줘, 네 10일간  공지사항 입니다. D10 ,0
10일치 대구대학교 공지사항 알고 있어?, 네 10일치 대구대학교 공지사항 입니다. D10 ,0
0일치 대구대학교 공지사항 알고 있어?, 네 10일치 대구대항 입니다. D10 ,0
열흘치 대구대학교 공지사항 알고 있어?, 네 열흘치 대구대학교 공지사항 입니다. D10 ,0
열흘치있어?, 네 열흘치 대구대학. D10 ,0
2주간 대구대학교 공지사항 알고 있어?, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
, 네지사항 입니다. D14 ,0
2주간 공지사항 알려줘, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2주간 공지사항 알려줘, 네 2주간대구대학교 공지사항 입니다. D14 ,0
2주동안 대구대학교 공지 알려줘, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2주동교 공지 알려줘, 네 2주간 대구대4 ,0
2주간 대구대학교 공지사항, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2, 주간 대구대학교 공지사항 입니다. D14 ,0
2주동안 대구대학교 공지, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2주동안교 공지, 네 2주간대학교 공지사항 입니다. D14 ,0
2주간 공지사항 알려줘, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2주알려줘, 네 2D14 ,0
2주동안 대구대학교 공지사항 알고 있어?, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2주동안 대고 있어?, 네 2주간공지사항 입니다. D14 ,0
2주내에 공지사항 알려줘, 네 2주간 대구대학교 공지사항 입니다. D14 ,0
2주내에사항 알려줘, 네4 ,0
2주치 대구대학교 공지사항 알고 있어?, 네 2주치 대구대학교 공지사항 입니다. D14 ,0
2주치 대구대학교공지사항 알고 있어?, 네 2주치 대다. D14 ,0
최근 7일내 AI학부 공지사항 알고 있어?, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
최근 7공지사항 알고 있어?, 네 ,1
최근 7일내 AI학부 공지사항 알려줘 ,네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
최근 7려줘 ,근 7일간 AI학부 공지사항 입니다. DA7 ,1
최근 7일내에  AI학부 공지 알려줘, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
최근 7일AI학부 공지 알려줘, 네 ,1
최근 7일내 AI학부 공지사항, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
최근 7일내 A, 네 지사항 입니다. DA7 ,1
최근 7일내 AI학부 공지, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
최근 7일내부 공지, 네 최근 7일간 AI학입니다. DA7 ,1
일주일간 AI학부 공지 알려줘, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
일주일간 A지 알려줘, 네 최근다. DA7 ,1
일주일간 AI학부 공지사항 알려줘, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
일주일간 AI학부지사항 알려줘, 네 최근사항 입니다. DA7 ,1
일주일간 AI학부 공지사항 알고 있어?, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
일주일, 사항 입니다. DA7 ,1
일주일내에 AI학부 공지사항 알고 있어?, 네 최근 7일간 AI학부 공지사항 입니다. DA7 ,1
일주 공지사항 알고 있어?, 네 최근 7일간 AI DA7 ,1
1주내에 AI학부 공지사항, 네 최근 1주내에 AI학부 공지사항 입니다. DA7 ,1
 공지사항, 네 최근 1주내에 입니다. DA7 ,1
AI학부 공지사항을 1주일치 보여줘, 네 1주간 AI학부 공지사항 입니다. DA7 ,1
AI학부 공지보여줘,네 1주간 AI학부 공지사항 입니다. DA7 ,1
AI학부 공지사항 보여줘, 네 1주간 AI학부 공지사항 입니다. DA7 ,1
AI학부 공지사항 보여줘, 네 1주간 AI학부A7 ,1
오늘 AI학부 공지사항 알고 있어?, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
 있어?, 네 오늘 AI0 ,1
오늘 AI학부 공지사항 알려줘, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오늘 A알려줘,  입니다. DA0 ,1
오늘  AI학부 공지 알려줘, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오늘 부 공지 알려줘, 네 오늘사항 입니다. DA0 ,1
오늘 AI학부 공지사항, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오 AI학부 공지사항, 네 오늘 입니다. DA0 ,1
오늘 AI학부 공지, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오늘 AI, 네 오학부 공지사항 입니다. DA0 ,1
오늘 AI학부 공지사항 알려줘, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오늘 AI학부알려줘, 네 오늘 A항 입니다. DA0 ,1
오늘 AI학부 공지사항 알고 있어?, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오있어?, 네부 공지사항 입니다. DA0 ,1
오늘 AI학부 공지사항 알고 있니?, 네 오늘 AI학부 공지사항 입니다. DA0 ,1
오늘 AI학부 공?, 늘 AI학부 공지사항 입니다. DA0 ,1
어제 AI학부 공지사항 알고 있어?, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어제  공지사항 알고 있어?, 네 어제 AI학부DA-1 ,1
어제 AI학부 공지사항 알려줘, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어제알려줘, 네 어제 A입니다. DA-1 ,1
어제 AI학부 공지 알려줘, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어제 부 공지 알려줘, 네  공지사항 입니다. DA-1 ,1
어제 AI학부 공지사항, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어제 A학부 공지사항, 네 어제 AI학1 ,1
어제 AI학부 공지, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
지, 네 어제사항 입니다. DA-1 ,1
어제 AI학부공지사항 알려줘, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어제, I학부 공지사항 입니다. DA-1 ,1
어제 AI 학부공지사항 알고 있어?, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어사항 알고 있어?, 네 어제 니다. DA-1 ,1
어제 AI 학부공지사항 알고 있니?, 네 어제 AI학부 공지사항 입니다. DA-1 ,1
어제 AI 학, 네 어제 AI학부입니다. DA-1 ,1
10일간 AI학부 공지사항 알고 있어?, 네 10일간 AI 학부 공지사항 입니다. DA10 ,1
10일간 AI학부, 네 10일간 A10 ,1
10일동안 AI학부 공지사항 알려줘, 네 10일동안 AI 학부 공지사항 입니다. DA10 ,1
0일동안 AI학부 공지사항 알려줘, 네 110 ,1
10일간 AI학부 공지 알려줘, 네 10일간 AI 학부 공지사항 입니다. DA10 ,1
10일AI학부 공지 알려줘, 네 10일간 AI 학입니다. DA10 ,1
10일간 AI학부 공지사항, 네 10일간 AI 학부 공지사항 입니다. DA10 ,1
10일간 AI공지사항, 네 10일간 학부 공지사항 입니다. DA10 ,1
10일간 AI학부 공지, 네 10일간  AI 학부 공지사항 입니다. DA10 ,1
10일간 공지, 네 일간  AI 학부 공지사항 입니다. DA10 ,1
10일간 AI학부 공지사항 알려줘, 네 10일간 AI 학부 공지사항 입니다. DA10 ,1
지사항 알려줘, 네 10일간  ,1
10일간 AI학부 공지사항 알고 있어?, 네 10일간 AI 학부 공지사항 입니다. DA10 ,1
10일항 알고 있어?,,1
10일치 AI학부 공지사항 알려줘, 네 10일간 AI 학부 공지사항 입니다. DA10 ,1
10일치 A항 알려줘, 네사항 입니다. DA10 ,1
10일치 AI학부 공지사항 알고 있어?, 네 10일치 AI 학부 공지사항 입니다. DA10 ,1
10일치 A고 있어?, 네 10일치. DA10 ,1
열흘치 AI학부 공지사항 알고 있어?, 네 열흘치 AI 학부 공지사항 입니다. DA10 ,1
열흘치 AI학부알고 있어?, 네 열흘치 DA10 ,1
2주간 AI학부 공지사항 알고 있어?, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주간 항 알고 있어?, 네 2주간 AI학부4 ,1
2주간 AI학부 공지사항 알려줘, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주간 AI학 공지사항 알려줘, 네 2주간 AI항 입니다. DA14 ,1
2주동안 AI학부 공지 알려줘, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주 공지 알려줘, 네 2주간 AI니다. DA14 ,1
2주간 AI학부 공지사항, 네 2주간 AI 학부 공지사항 입니다. DA14 ,1
학부 공지사항, 네 2. DA14 ,1
2주동안 AI학부 공지, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주동지, 주간 AI학부 공지사항 입니다. DA14 ,1
2주동안 AI학부 공지사항 알고 있어?, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주동안 알고 있어?, 네 2주간 AI학부 공A14 ,1
2주내에 AI학부 공지사항 알려줘, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주줘, 네 2사항 입니다. DA14 ,1
2주치AI 학부 공지사항 알고 있어?, 네 2주간 AI학부 공지사항 입니다. DA14 ,1
2주치AI 학공지사항 알고 있어?, 네 2주,1
,,0
,,0
오늘 대구대학교 공지, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘교 공지, 네 오늘 대구대학교 D1,0
오늘 대구대학교 공지사항 내놔, 네 오늘 대구대학교 공지사항입니다. D1,0
, 네 오늘 대니다. D1,0
오늘 대구대학교 공지사항 보여줘, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘보여줘, 네 오늘 대학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 보여줘봐, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘항 보여줘봐, 교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 보여주세요, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대학항 보여주세요, 네교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 알려줘, 네 오늘 대구대학교 공지사항입니다. D1,0
오 알려줘, 네 오늘 대학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 알려주세요, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 주세요, 네 오늘대학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 말해, 네 오늘 대구대학교 공지사항입니다. D1,0
지사항 말해, 네 니다. D1,0
오늘 대구대학교 공지사항 뭐냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대학교항 뭐냐?, 네  대구대학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 머냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오대학교 공지사항 머냐?, 네 학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 뭐있음?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대학?, 네 오늘사항입니다. D1,0
오늘 대구대학교 공지사항 머있음?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대사항 머있음?,오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 뭐있냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대 뭐있냐?, 네 오늘 대구대학 공지사항입니다. D1,0
오늘 대구대학교 공지사항 머있냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구있냐?, 네  D1,0
오늘 대구대학교 공지사항 아냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
공지사항 아냐?, 네 오늘 대학교 공지사항입니다. D1,0
오늘 대구대학교 공지사항 알고있어?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘대학교 공지사항 알고있어?, 네 오늘 대구대공지사항입니다. D1,0
오늘 대구대 공지, 네 오늘 대구대학교 공지사항입니다. D1,0
공지, 네 오늘 대구1,0
오늘 대구대 공지사항 내놔, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대사항 내놔, D1,0
오늘 대구대 공지사항 보여줘, 네 오늘 대구대학교 공지사항입니다. D1,0
오 보여줘, 네 오늘 대구 공지사항입니다. D1,0
오늘 대구대 공지사항 보여줘봐, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘공지사항 보여줘봐, 네 오1,0
오늘 대구대 공지사항 보여주세요, 네 오늘 대구대학교 공지사항입니다. D1,0
사항 보여주세요, 네 교 공지사항입니다. D1,0
오늘 대구대 공지사항 알려줘, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘지사항 알려줘, 니다. D1,0
오늘 대구대 공지사항 알려주세요, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘  알려주세요, 네 오늘 대구 공지사항입니다. D1,0
오늘 대구대 공지사항 말해, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대지사항 말해, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대 공지사항 뭐냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 지사항 뭐냐?, 네 오늘 대구대학교니다. D1,0
오늘 대구대 공지사항 머냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
?, 네 오늘 대구대학교,0
오늘 대구대 공지사항 뭐있음?, 네 오늘 대구대학교 공지사항입니다. D1,0
오항 뭐있음?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대 공지사항 머있음?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구항 머있음?, 네 오늘 대구대학교. D1,0
오늘 대구대 공지사항 뭐있냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대뭐있냐?, 네 오늘 대구대지사항입니다. D1,0
오늘 대구대 공지사항 머있냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오늘 대구대, 네다. D1,0
오늘 대구대 공지사항 아냐?, 네 오늘 대구대학교 공지사항입니다. D1,0
오?, 네 1,0
오늘 대구대 공지사항 알고있어?, 네 오늘 대구대학교 공지사항입니다. D1,0
공지사항 알고있어?, 네 오늘 대구대학교. D1,0
오늘 ai학부 공지, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 a, 네 오늘 AI학부 다. DA1,1
오늘 ai학부 공지사항 내놔, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai학 공지사항 내놔, 네 오늘 AI학니다. DA1,1
오늘 ai학부 공지사항 보여줘, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai여줘, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai학부 공지사항 보여줘봐, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai학부 공지사항 보여줘봐, 부 공지사항입니다. DA1,1
오늘 ai학부 공지사항 보여주세요, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai부 공지사항 보여주세요, 네 오늘 DA1,1
오늘 ai학부 공지사항 알려줘, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 a항 알려줘, 네 오,1
오늘 ai학부 공지사항 알려주세요, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai학부 공요, 네늘 AI학부 공지사항입니다. DA1,1
오늘 ai학부 공지사항 말해, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai 말해, 네 오학부 공지사항입니다. DA1,1
오늘 ai학부 공지사항 뭐냐?, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai학?, 네 오늘 AI학지사항입니다. DA1,1
오늘 ai학부 공지사항 머냐?, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai 공지사항 머냐?, 네 오늘 입니다. DA1,1
오늘 ai학부 공지사항 뭐있음?, 네 오늘 AI학부 공지사항입니다. DA1,1
오늘 ai 뭐있음?,부 공지사항입니다. DA1,1
